Tue May  7 15:39:15 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:39:16 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:39:17 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:39:17 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:39:18 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:39:21 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:39:21 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:39:22 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:39:23 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:39:23 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:39:24 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:39:27 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:39:27 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:39:28 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:39:29 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:39:29 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:39:30 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:39:33 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:39:33 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:39:34 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:39:35 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:39:35 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:39:36 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:39:39 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:39:39 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:39:40 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
Tue May  7 15:39:41 2019 | SERIAL_configure | MicroADSB_Colector configured
Tue May  7 15:39:41 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was reconnected
Tue May  7 15:39:42 2019 | SERIAL_read | It couldn't read serial port
Tue May  7 15:39:45 2019 | SERIAL_communicate | MicroADSB_Colector serial port was disconnected
Tue May  7 15:39:45 2019 | SERIAL_reconnect | MicroADSB_Colector serial port was closed
Tue May  7 15:39:46 2019 | SERIAL_open | MicroADSB_Colector was opened succesfully
